event,bstd,dev,ratio
10085,16.583,29.917,1.804
10347,29.67,41.076,1.384
10431,11.149,16.396,1.471
10508,8.755,14.722,1.682
10529,13.768,21.672,1.574
10858,27.355,45.022,1.646
11083,16.459,19.988,1.214
11114,20.081,34.366,1.711
11141,17.963,25.804,1.436
11142,24.04,31.096,1.293
11152,29.857,30.422,1.019
11155,31.918,45.01,1.41
11159,10.351,17.045,1.647
11160,11.486,17.822,1.552
11161,29.825,31.647,1.061
11163,14.349,16.788,1.17
11166,14.193,19.642,1.384
11169,31.825,34.867,1.096
11171,24.673,29.732,1.205
11266,27.366,27.121,0.991
11288,32.222,45.039,1.398
11300,6.662,12.142,1.823
11306,32.141,31.218,0.971
11307,23.231,33.042,1.422
11324,15.803,25.385,1.606
11343,14.79,17.644,1.193
11390,19.554,19.867,1.016
11439,5.41,10.277,1.9
11441,9.85,14.774,1.5
11442,6.66,11.38,1.709
11443,19.559,22.588,1.155
11445,29.202,29.565,1.012
11462,19.836,36.891,1.86
11486,8.123,12.707,1.564
11505,8.9,12.276,1.379
11517,26.479,26.383,0.996
11518,31.108,31.839,1.024
11519,27.651,27.634,0.999
11522,17.673,25.749,1.457
11528,26.11,30.069,1.152
11530,32.411,38.052,1.174
