event,group,channel,bstd,dev,ratio
10037,0,0,4.038,9.574,2.371
10058,0,0,3.399,6.61,1.944
10090,0,0,4.153,9.474,2.281
10095,0,0,4.724,8.982,1.901
10182,0,0,4.865,8.831,1.815
10302,0,0,2.623,5.04,1.922
10314,0,3,2.27,5.514,2.429
10434,0,3,4.304,9.326,2.167
10526,0,0,3.861,9.112,2.36
10561,0,1,4.837,11.414,2.36
10595,0,0,3.82,8.966,2.347
10708,1,0,4.835,9.89,2.046
10770,0,0,4.824,8.749,1.814
10908,0,1,3.548,6.6,1.86
10908,0,3,2.905,6.153,2.118
10908,1,3,3.784,8.831,2.334
10922,0,0,3.525,7.718,2.189
10959,1,0,4.261,10.136,2.379
11269,0,0,3.183,7.627,2.396
11370,0,0,3.362,5.44,1.618
11440,0,3,4.342,9.304,2.143
